crop_type,soil_moisture,temperature,rainfall,irrigation_amount_mm
wheat,32.47,43.28,19.75,32.9
wheat,19.36,12.03,30.17,24.43
wheat,46.07,34.78,0.31,34.39
wheat,21.0,20.65,11.16,34.19
wheat,35.92,20.19,14.2,25.92
wheat,31.98,25.96,23.07,25.1
wheat,21.98,28.0,13.46,36.51
wheat,20.23,12.28,44.61,15.57
wheat,67.94,38.29,5.45,34.53
wheat,36.41,14.27,10.25,25.29
wheat,12.06,41.83,4.49,48.91
wheat,41.2,29.13,3.07,34.97
wheat,68.18,37.13,42.08,15.64
wheat,65.31,13.1,3.27,27.19
wheat,12.71,21.39,7.38,42.05
wheat,31.41,19.83,11.74,28.88
wheat,18.46,38.08,1.16,48.97
wheat,53.74,36.99,1.15,37.05
wheat,31.51,14.06,29.83,16.4
wheat,13.81,20.88,5.9,42.59
wheat,53.78,32.31,32.73,16.5
wheat,52.79,36.63,12.36,29.86
wheat,56.26,27.28,11.1,26.27
wheat,16.47,11.1,15.18,32.66
wheat,28.86,27.8,35.72,21.22
wheat,55.33,18.01,1.2,25.86
wheat,27.39,15.64,39.82,16.52
wheat,62.29,38.13,3.1,36.94
wheat,63.55,28.88,24.71,20.23
wheat,16.6,17.98,8.36,38.3
wheat,59.08,40.13,0.1,33.52
wheat,23.33,14.2,6.18,34.68
wheat,66.57,21.31,10.97,23.12
wheat,68.31,43.69,4.35,38.9
wheat,39.83,20.53,5.03,29.68
wheat,40.16,11.8,4.9,26.58
wheat,64.5,18.38,2.35,28.19
wheat,24.52,33.52,21.51,33.36
wheat,24.26,35.49,6.88,43.7
wheat,42.15,13.16,27.05,17.35
wheat,29.25,16.53,0.62,37.45
wheat,11.0,27.92,3.85,47.36
wheat,48.71,16.1,17.61,20.07
wheat,18.25,21.94,1.81,41.17
wheat,65.48,40.71,4.47,37.11
wheat,43.31,28.54,4.15,32.39
wheat,15.59,41.4,34.6,31.84
wheat,30.95,35.41,34.11,26.72
wheat,63.23,37.3,15.41,29.05
wheat,10.55,13.55,16.34,36.1
wheat,10.3,15.63,11.94,38.97
wheat,23.46,34.93,4.06,45.12
wheat,29.52,36.13,15.73,35.69
wheat,44.1,13.28,6.88,25.88
wheat,25.91,18.54,54.18,11.73
wheat,47.87,37.82,10.48,31.03
wheat,44.61,27.24,3.26,29.5
wheat,11.46,32.59,2.92,49.63
wheat,66.43,43.39,36.95,20.19
wheat,68.0,43.73,28.76,25.72
wheat,27.67,23.48,28.57,23.02
wheat,43.41,42.77,17.86,29.62
wheat,44.2,13.4,14.32,22.29
wheat,54.45,34.4,18.18,26.24
wheat,31.57,20.28,24.86,23.68
wheat,64.79,27.9,10.44,27.82
wheat,57.9,32.75,18.16,25.87
wheat,30.28,23.15,1.48,36.91
wheat,44.7,11.26,9.4,20.25
